TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Summer 2022,,404,4,Bayside - Little Neck,9,12.8,10.7,NO2,375
Summer 2022,,405,4,Ridgewood - Forest Hills,8.7,12.5,10.6,NO2,375
Summer 2022,,406,4,Fresh Meadows,9.6,12,10.6,NO2,375
Summer 2022,,407,4,Southwest Queens,8.2,11.3,9.7,NO2,375
Summer 2022,,408,4,Jamaica,9.2,12.5,10.5,NO2,375
Summer 2022,,409,4,Southeast Queens,8.9,10.9,9.8,NO2,375
Summer 2022,,410,4,Rockaways,5.9,8.1,7,NO2,375
Summer 2022,,501,4,Port Richmond,8.6,10.3,9.4,NO2,375
Summer 2022,,502,4,Stapleton - St. George,7.4,10,8.7,NO2,375
Summer 2022,,503,4,Willowbrook,6.6,10.4,8.3,NO2,375
Summer 2022,,504,4,South Beach - Tottenville,5.7,7.8,6.9,NO2,375
Summer 2022,,101,3,Kingsbridge - Riverdale,9.2,12.9,10.6,NO2,375
Summer 2022,,102,3,Northeast Bronx,10.7,13.1,11.6,NO2,375
Summer 2022,,103,3,Fordham - Bronx Pk,10.3,12.6,11.5,NO2,375
Summer 2022,,104,3,Pelham - Throgs Neck,10,13.9,12,NO2,375
Summer 2022,,201,3,Greenpoint,12.5,15.7,14.1,NO2,375
Summer 2022,,202,3,Downtown - Heights - Slope,11,15.9,13.4,NO2,375
Summer 2022,,203,3,Bedford Stuyvesant - Crown Heights,10.5,12.6,11.4,NO2,375
Summer 2022,,204,3,East New York,9.2,12.7,10.9,NO2,375
Summer 2022,,205,3,Sunset Park,9.1,16.4,12.5,NO2,375
Summer 2022,,206,3,Borough Park,9.3,11.1,10.1,NO2,375
Summer 2022,,207,3,East Flatbush - Flatbush,9.3,11.1,10.2,NO2,375
Summer 2022,,208,3,Canarsie - Flatlands,6.3,10.9,8.6,NO2,375
Summer 2022,,209,3,Bensonhurst - Bay Ridge,8.5,12.2,9.8,NO2,375
Summer 2022,,210,3,Coney Island - Sheepshead Bay,7.3,9.4,8.5,NO2,375
Summer 2022,,211,3,Williamsburg - Bushwick,10.9,15,12.7,NO2,375
Summer 2022,,301,3,Washington Heights,10.7,19.1,13.5,NO2,375
Summer 2022,,302,3,Central Harlem - Morningside Heights,12.7,13.9,13.2,NO2,375
Summer 2022,,303,3,East Harlem,12,13.7,13,NO2,375
Summer 2022,,304,3,Upper West Side,13.3,16.2,14.7,NO2,375
Summer 2022,,401,3,Long Island City - Astoria,11.4,15.3,13.2,NO2,375
Summer 2022,,402,3,West Queens,11,15.4,12.8,NO2,375
Summer 2022,,403,3,Flushing - Clearview,9.8,12.6,11,NO2,375
Summer 2022,,405,3,Ridgewood - Forest Hills,8.7,12.5,10.6,NO2,375
Summer 2022,,407,3,Southwest Queens,8.2,11.3,9.7,NO2,375
Summer 2022,,408,3,Jamaica,9.2,12.5,10.5,NO2,375
Summer 2022,,409,3,Southeast Queens,8.9,10.9,9.8,NO2,375
Summer 2022,,410,3,Rockaways,5.9,8.1,7,NO2,375
Summer 2022,,305307,3,Upper East Side-Gramercy,13.4,22.4,17.3,NO2,375
Summer 2022,,306308,3,Chelsea-Village  ,15.2,23.5,18.5,NO2,375
Summer 2022,,309310,3,Union Square-Lower Manhattan,11.6,17.8,14.8,NO2,375
Summer 2022,,404406,3,Bayside Little Neck-Fresh Meadows,9.1,12.6,10.7,NO2,375
Summer 2022,,501502,3,Northern SI,7.7,10.1,8.9,NO2,375
Summer 2022,,503504,3,Southern SI,5.9,8.9,7.4,NO2,375
Summer 2022,,105106107,3,South Bronx,12.1,15.7,13.5,NO2,375
Summer 2022,,1,1,Bronx,10,14.6,12.2,NO2,375
Summer 2022,,2,1,Brooklyn,8.2,14,10.7,NO2,375
Summer 2022,,3,1,Manhattan,12,20.4,15.4,NO2,375
Summer 2022,,4,1,Queens,8.4,13.2,10.6,NO2,375
Summer 2022,,5,1,Staten Island,6.2,9.7,7.8,NO2,375
Summer 2022,,1,0,New York City,7.2,14.1,10.6,NO2,375
Winter 2021,22,101,6,Financial District (CD1),24.2,26.9,25.6,NO2,375
Winter 2021,22,102,6,Greenwich Village and Soho (CD2),23.6,25.3,24.4,NO2,375
Winter 2021,22,103,6,Lower East Side and Chinatown (CD3),20.9,24.3,22.6,NO2,375
Winter 2021,22,104,6,Clinton and Chelsea (CD4),23,28.1,25.5,NO2,375
Winter 2021,22,105,6,Midtown (CD5),26.4,31.4,29.2,NO2,375
Winter 2021,22,106,6,Stuyvesant Town and Turtle Bay (CD6),22.2,28.8,25.4,NO2,375
Winter 2021,22,107,6,Upper West Side (CD7),21.1,23.2,22.1,NO2,375
Winter 2021,22,108,6,Upper East Side (CD8),21.5,25.2,23.4,NO2,375
Winter 2021,22,109,6,Morningside Heights and Hamilton Heights (CD9),20.8,21.8,21.3,NO2,375
Winter 2021,22,110,6,Central Harlem (CD10),21.3,22,21.6,NO2,375
Winter 2021,22,111,6,East Harlem (CD11),20.9,22.3,21.6,NO2,375
Winter 2021,22,112,6,Washington Heights and Inwood (CD12),19.4,23.9,21.3,NO2,375
Winter 2021,22,201,6,Mott Haven and Melrose (CD1),21.8,25.9,23.5,NO2,375
Winter 2021,22,202,6,Hunts Point and Longwood (CD2),22.7,26.2,24.5,NO2,375
Winter 2021,22,203,6,Morrisania and Crotona (CD3),22,23.3,22.7,NO2,375
Winter 2021,22,204,6,Highbridge and Concourse (CD4),21.3,23.5,22.3,NO2,375
Winter 2021,22,205,6,Fordham and University Heights (CD5),21.2,23.3,22.2,NO2,375
Winter 2021,22,206,6,Belmont and East Tremont (CD6),20.7,23.2,22.1,NO2,375
Winter 2021,22,207,6,Kingsbridge Heights and Bedford (CD7),20.8,21.8,21.4,NO2,375
Winter 2021,22,208,6,Riverdale and Fieldston (CD8),18.8,21.2,19.8,NO2,375
Winter 2021,22,209,6,Parkchester and Soundview (CD9),20.6,23.8,22.2,NO2,375
Winter 2021,22,210,6,Throgs Neck and Co-op City (CD10),19.6,23.1,21.4,NO2,375
Winter 2021,22,211,6,Morris Park and Bronxdale (CD11),20.8,23,21.5,NO2,375
Winter 2021,22,212,6,Williamsbridge and Baychester (CD12),20,22.2,21,NO2,375
Winter 2021,22,301,6,Greenpoint and Williamsburg (CD1),22.7,25.9,24,NO2,375
Winter 2021,22,302,6,Fort Greene and Brooklyn Heights (CD2),22.1,25.1,23.5,NO2,375
Winter 2021,22,303,6,Bedford Stuyvesant (CD3),21.1,24.5,22.3,NO2,375
Winter 2021,22,304,6,Bushwick (CD4),21.1,25.3,22.6,NO2,375
Winter 2021,22,305,6,East New York and Starrett City (CD5),18.9,23,21,NO2,375
Winter 2021,22,306,6,Park Slope and Carroll Gardens (CD6),21.1,24.7,23.1,NO2,375
Winter 2021,22,307,6,Sunset Park (CD7),20.3,26.9,23.2,NO2,375
Winter 2021,22,308,6,Crown Heights and Prospect Heights (CD8),21.5,23.3,22.3,NO2,375
Winter 2021,22,309,6,South Crown Heights and Lefferts Gardens (CD9),20.9,21.6,21.3,NO2,375
